zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
79011,21,21,3,3,0,4,4,7,0,0
79012,518,518,0,70,0,97,110,96,145,0
79013,1220,1220,312,92,48,139,217,208,204,0
79014,1261,1261,106,136,16,254,208,298,243,0
79015,4973,4950,743,520,187,930,945,635,990,23
79016,0,0,0,0,0,0,0,0,0,0
79018,70,70,21,8,5,4,15,11,6,0
79019,442,442,61,49,11,61,94,82,84,0
79021,56,56,16,8,4,1,15,12,0,0
79022,3039,3039,540,352,118,474,749,423,383,0
79024,89,89,17,2,0,23,15,7,25,0
79025,0,0,0,0,0,0,0,0,0,0
79027,1383,1383,186,218,25,316,241,200,197,0
79029,4836,4836,825,481,293,803,1119,678,637,0
79031,374,374,42,45,10,76,62,91,48,0
79032,35,35,6,8,0,11,6,0,4,0
79033,0,0,0,0,0,0,0,0,0,0
79034,159,159,6,18,10,33,24,25,43,0
79035,1601,1601,236,153,81,241,402,295,193,0
79036,1231,1231,196,76,44,186,254,222,253,0
79039,290,290,36,33,18,47,52,48,56,0
79040,566,566,122,69,31,84,30,137,93,0
79041,707,707,45,29,61,120,112,155,185,0
79042,312,312,38,36,19,54,82,35,48,0
79043,481,481,54,45,57,86,98,69,72,0
79044,216,216,47,15,5,18,26,48,57,0
79045,5843,5819,834,804,350,937,886,1062,946,24
79046,246,246,14,15,25,62,47,46,37,0
79051,0,0,0,0,0,0,0,0,0,0
79052,314,314,57,16,20,47,51,47,76,0
79053,28,28,8,6,0,0,2,4,8,0
79054,199,199,23,11,27,30,40,43,25,0
79056,10,10,3,2,2,3,0,0,0,0
79057,304,304,34,32,14,48,78,40,58,0
79058,0,0,0,0,0,0,0,0,0,0
79059,195,195,14,6,20,20,47,37,51,0
79061,97,97,15,32,0,28,13,0,9,0
79062,42,42,3,0,0,4,6,5,24,0
79063,219,219,15,36,30,32,17,43,46,0
79064,592,592,76,108,39,99,127,86,57,0
79065,5180,5177,966,521,304,962,865,714,845,3
79068,880,880,151,108,44,123,136,131,187,0
79070,3119,3119,455,383,152,468,626,511,524,0
79072,7131,7104,948,931,428,1052,1245,1309,1191,27
79078,33,33,2,6,0,9,4,10,2,0
79079,639,639,98,89,43,155,87,61,106,0
79080,83,83,17,3,8,24,8,6,17,0
79081,1223,1223,174,115,28,257,145,223,281,0
79082,58,58,0,0,0,28,12,11,7,0
79083,448,448,18,45,9,87,55,101,133,0
79084,519,519,91,47,16,57,105,95,108,0
79085,4,4,0,0,0,0,2,0,2,0
79086,692,692,87,113,31,83,126,138,114,0
79087,199,199,11,12,11,17,51,48,49,0
79088,1374,1374,192,149,65,201,235,267,265,0
79091,32,32,0,0,0,16,16,0,0,0
79092,193,193,54,32,3,27,24,26,27,0
79093,12,12,12,0,0,0,0,0,0,0
79094,0,0,0,0,0,0,0,0,0,0
79095,672,672,61,99,20,169,116,108,99,0
79096,612,612,66,58,40,110,149,101,88,0
79097,224,224,72,11,0,53,29,41,18,0
79098,143,143,2,29,3,28,28,29,24,0
79101,141,123,14,0,45,38,26,0,0,18
79102,2766,2764,506,320,178,459,265,518,518,2
79103,3143,3143,387,312,213,557,572,550,552,0
79104,2055,2055,304,150,86,327,370,386,432,0
79105,0,0,0,0,0,0,0,0,0,0
79106,7018,7018,1181,1029,389,1393,1125,968,933,0
79107,11775,11775,2145,1470,666,2129,1960,1991,1414,0
79108,2691,2691,320,417,78,519,393,485,479,0
79109,10492,10438,1572,1093,591,1981,1956,1527,1718,54
79110,5561,5561,923,823,222,992,891,706,1004,0
79111,576,576,59,131,26,76,73,127,84,0
79118,5960,5827,858,770,391,875,1060,1058,815,133
79119,4161,4161,622,625,265,636,681,743,589,0
79121,947,947,172,105,22,149,139,147,213,0
79124,2181,2181,264,195,96,373,525,405,323,0
79201,1286,1286,226,74,0,361,308,166,151,0
79220,67,67,3,3,3,7,8,18,25,0
79225,241,241,68,15,7,24,35,48,44,0
79226,612,612,91,56,26,94,148,87,110,0
79227,231,231,35,15,0,13,33,62,73,0
79229,69,69,13,5,0,16,6,14,15,0
79230,43,43,5,12,0,15,3,5,3,0
79231,57,57,0,0,0,25,32,0,0,0
79233,46,46,1,0,2,4,15,12,12,0
79234,5,5,2,0,0,0,0,0,3,0
79235,942,942,162,103,47,90,197,204,139,0
79236,62,62,3,7,0,5,10,29,8,0
79237,54,54,19,9,9,2,5,3,7,0
79239,26,26,0,2,0,16,2,0,6,0
79240,16,16,0,0,0,8,0,8,0,0
79241,526,526,63,33,0,104,144,57,125,0
79243,0,0,0,0,0,0,0,0,0,0
79244,280,280,32,17,22,62,88,21,38,0
79245,543,543,45,42,33,72,113,148,90,0
79247,22,22,0,0,8,3,0,11,0,0
79248,521,521,82,77,22,65,95,72,108,0
79250,346,346,78,35,0,60,55,46,72,0
79251,0,0,0,0,0,0,0,0,0,0
79252,608,608,60,76,6,140,132,108,86,0
79255,139,139,29,8,0,41,16,31,14,0
79256,34,34,0,0,0,0,21,0,13,0
79257,129,129,2,17,9,25,23,17,36,0
79258,0,0,0,0,0,0,0,0,0,0
79259,0,0,0,0,0,0,0,0,0,0
79261,63,61,12,3,4,8,15,8,11,2
79311,1019,1019,180,72,20,86,247,237,177,0
79312,186,186,17,18,4,60,20,21,46,0
79313,429,429,74,52,27,58,69,89,60,0
79314,16,16,0,0,6,6,2,2,0,0
79316,3089,3089,544,395,152,682,427,424,465,0
79322,508,508,72,33,28,59,80,155,81,0
79323,2471,2471,324,393,144,624,298,341,347,0
79324,13,13,5,0,0,0,0,0,8,0
79325,632,632,78,94,24,123,135,47,131,0
79326,26,26,0,0,0,0,6,12,8,0
79329,704,703,46,103,40,151,175,79,109,1
79330,34,34,24,0,0,0,0,10,0,0
79331,3223,3221,451,410,58,581,591,619,511,2
79336,4413,4408,639,538,199,768,780,740,744,5
79339,2040,2040,303,265,56,289,530,268,329,0
79342,213,213,57,6,0,21,70,45,14,0
79343,469,469,64,43,18,99,81,61,103,0
79344,92,92,0,13,19,5,14,29,12,0
79345,308,308,51,29,12,28,72,56,60,0
79346,613,613,102,58,19,136,85,111,102,0
79347,2086,2086,309,155,109,386,200,301,626,0
79350,125,125,18,7,2,37,17,22,22,0
79351,395,395,61,34,5,55,60,65,115,0
79353,0,0,0,0,0,0,0,0,0,0
79355,583,583,84,29,41,95,87,140,107,0
79356,914,859,85,153,82,136,114,100,189,55
79357,572,572,106,65,19,57,84,172,69,0
79358,286,286,43,12,14,36,48,71,62,0
79359,1132,1132,307,47,48,278,95,117,240,0
79360,5899,5899,1082,728,286,852,982,1089,880,0
79363,1705,1705,137,128,152,381,299,269,339,0
79364,1993,1993,349,356,83,187,384,380,254,0
79366,200,200,34,16,2,25,38,38,47,0
79367,223,223,15,20,4,47,37,55,45,0
79369,10,10,0,0,0,10,0,0,0,0
79370,318,318,68,24,18,50,51,44,63,0
79371,336,336,66,34,3,70,84,15,64,0
79372,325,325,39,41,5,64,50,60,66,0
79373,838,837,180,74,51,205,137,100,90,1
79376,0,0,0,0,0,0,0,0,0,0
79377,94,94,14,23,0,27,14,6,10,0
79378,53,53,14,6,9,5,9,4,6,0
79379,152,130,37,15,7,11,26,9,25,22
79380,13,13,0,1,2,4,4,2,0,0
79381,407,407,18,56,26,96,82,74,55,0
79382,2815,2815,413,299,195,526,548,386,448,0
79401,682,676,147,56,18,74,120,93,168,6
79403,5261,5151,831,658,303,781,903,869,806,110
79404,2432,2430,345,114,236,361,555,444,375,2
79406,0,0,0,0,0,0,0,0,0,0
79407,5317,5317,734,531,264,670,893,1163,1062,0
79410,1716,1716,360,124,95,173,366,194,404,0
79411,1182,1182,124,177,16,165,271,109,320,0
79412,5308,5296,799,582,85,953,778,1105,994,12
79413,5330,5330,903,456,267,865,924,1083,832,0
79414,4244,4244,946,618,233,724,698,495,530,0
79415,4335,4177,776,333,336,895,422,498,917,158
79416,7436,7436,955,799,392,1252,1183,1664,1191,0
79423,11031,11031,1877,1381,443,2049,1869,2083,1329,0
79424,11568,11568,2401,1533,599,1887,1777,1807,1564,0
79501,617,607,132,29,10,137,97,120,82,10
79502,350,350,26,81,18,22,54,75,74,0
79503,0,0,0,0,0,0,0,0,0,0
79504,608,608,139,47,21,102,56,115,128,0
79505,59,59,16,13,0,15,15,0,0,0
79506,86,86,4,3,4,9,22,39,5,0
79508,461,461,57,18,16,110,77,77,106,0
79510,1765,1765,169,148,60,354,432,271,331,0
79511,291,291,49,26,10,31,81,71,23,0
79512,1367,1367,294,102,152,195,219,121,284,0
79517,24,24,24,0,0,0,0,0,0,0
79518,15,15,0,0,0,5,5,5,0,0
79519,0,0,0,0,0,0,0,0,0,0
79520,715,715,92,105,34,113,64,152,155,0
79521,657,657,73,69,66,116,62,122,149,0
79525,573,573,126,5,7,118,205,62,50,0
79526,166,166,38,9,9,30,25,34,21,0
79527,97,97,8,12,11,14,15,0,37,0
79528,144,132,22,0,25,15,25,12,33,12
79529,422,422,20,44,6,111,62,117,62,0
79530,98,98,11,21,5,7,11,17,26,0
79532,243,243,11,22,19,53,32,42,64,0
79533,56,56,8,12,0,12,14,2,8,0
79534,9,9,0,0,0,3,0,0,6,0
79535,15,15,3,2,0,1,0,8,1,0
79536,1401,1401,170,138,23,183,370,315,202,0
79537,0,0,0,0,0,0,0,0,0,0
79538,60,60,19,7,0,4,0,30,0,0
79539,24,24,1,0,0,0,9,7,7,0
79540,31,31,0,0,0,0,0,31,0,0
79541,231,231,0,11,0,73,60,87,0,0
79543,373,373,70,66,26,73,36,56,46,0
79544,146,146,22,5,4,28,28,35,24,0
79545,421,421,66,38,9,87,52,87,82,0
79546,415,415,110,51,20,48,23,101,62,0
79547,117,117,17,25,5,46,11,7,6,0
79548,41,41,12,0,0,0,19,2,8,0
79549,4018,4018,748,328,217,555,876,711,583,0
79553,956,956,120,28,46,123,219,238,182,0
79556,3407,3407,620,358,219,559,604,498,549,0
79560,20,20,0,5,0,2,2,8,3,0
79561,141,141,6,5,4,45,8,31,42,0
79562,853,853,79,39,87,147,83,261,157,0
79563,303,303,34,42,16,43,59,54,55,0
79565,101,101,5,2,6,9,14,20,45,0
79566,41,41,0,4,0,4,24,9,0,0
79567,959,959,141,56,57,174,216,146,169,0
79601,3943,3934,724,468,298,497,532,737,678,9
79602,6998,6850,1102,974,302,1459,1054,977,982,148
79603,6333,6333,1055,809,514,797,1007,924,1227,0
79605,7032,7015,1420,770,418,1006,1218,1123,1060,17
79606,6064,6064,1129,863,446,802,1182,921,721,0
79607,904,904,246,151,92,156,108,99,52,0
79699,12,0,0,0,0,0,0,0,0,12
79701,9987,9939,1814,1481,460,1482,1797,1432,1473,48
79703,6517,6517,1186,654,366,1123,1102,938,1148,0
79705,10672,10671,1849,1472,691,2174,1724,1540,1221,1
79706,9252,9252,1626,855,490,1872,1663,1297,1449,0
79707,10358,10358,1747,1587,401,1642,2114,1420,1447,0
79713,131,131,21,21,16,18,13,30,12,0
79714,5688,5688,912,639,295,966,940,1011,925,0
79718,219,219,36,0,0,9,57,51,66,0
79719,198,198,36,10,2,37,32,31,50,0
79720,7687,7641,1305,943,212,1286,1352,1358,1185,46
79730,19,19,6,2,3,6,1,1,0,0
79731,1451,1451,245,140,49,286,186,323,222,0
79733,50,50,6,3,5,4,8,20,4,0
79734,365,314,12,49,35,12,59,121,26,51
79735,3488,3488,452,418,256,728,577,550,507,0
79738,72,72,19,8,0,13,5,11,16,0
79739,289,289,24,14,0,28,69,105,49,0
79741,51,51,0,0,0,2,40,4,5,0
79742,166,166,8,6,27,34,17,31,43,0
79743,58,58,13,0,0,15,8,22,0,0
79744,294,294,72,41,5,24,19,44,89,0
79745,2062,2062,334,211,209,369,316,257,366,0
79748,105,105,9,9,0,22,22,19,24,0
79749,137,137,12,22,18,27,32,12,14,0
79752,708,708,84,98,15,132,69,194,116,0
79754,25,25,13,8,4,0,0,0,0,0
79755,13,13,0,0,0,0,0,13,0,0
79756,2532,2532,482,257,39,465,444,407,438,0
79758,863,863,221,90,28,191,83,141,109,0
79759,0,0,0,0,0,0,0,0,0,0
79761,9933,9930,2076,1158,747,1212,1465,1536,1736,3
79762,11877,11877,1925,1396,677,1997,1967,1996,1919,0
79763,12634,12634,1773,1622,700,2435,2356,2338,1410,0
79764,6716,6716,1119,721,534,929,1398,793,1222,0
79765,4569,4534,1119,865,315,834,662,257,482,35
79766,2751,2737,519,506,151,599,362,246,354,14
79770,0,0,0,0,0,0,0,0,0,0
79772,3172,3166,563,263,126,568,608,509,529,6
79777,135,120,0,3,0,48,55,10,4,15
79778,237,237,57,20,3,11,4,61,81,0
79780,44,44,15,23,6,0,0,0,0,0
79781,65,65,11,0,0,9,30,15,0,0
79782,1373,1373,201,140,50,172,309,249,252,0
79783,86,86,30,18,23,0,0,11,4,0
79785,0,0,0,0,0,0,0,0,0,0
79788,191,191,32,17,3,40,48,28,23,0
79789,290,290,45,32,8,66,47,63,29,0
79821,1859,1859,310,379,46,227,226,344,327,0
79830,1579,1576,142,287,164,243,225,317,198,3
79831,0,0,0,0,0,0,0,0,0,0
79834,40,37,6,9,0,9,3,10,0,3
79835,3536,3452,460,401,264,474,671,552,630,84
79836,1935,1935,327,162,79,265,333,340,429,0
79837,55,55,13,0,0,42,0,0,0,0
79838,1818,1816,443,132,39,248,380,236,338,2
79839,746,746,137,43,8,203,102,75,178,0
79842,59,59,15,0,0,0,8,24,12,0
79843,554,554,71,11,130,47,192,50,53,0
79845,1179,1179,228,135,57,96,299,166,198,0
79846,76,76,31,16,0,11,0,8,10,0
79847,71,71,36,35,0,0,0,0,0,0
79848,118,118,4,22,14,30,24,2,22,0
79849,3868,3837,650,268,114,581,522,917,785,31
79851,233,233,18,0,0,103,38,49,25,0
79852,91,91,0,10,0,0,27,16,38,0
79853,864,864,113,45,36,108,127,292,143,0
79854,11,11,0,0,0,11,0,0,0,0
79855,567,567,118,41,16,156,83,51,102,0
79901,2010,1948,164,181,150,332,264,455,402,62
79902,3537,3530,653,258,239,561,703,575,541,7
79903,2923,2923,289,337,110,392,777,611,407,0
79904,11198,11198,2175,1348,495,1902,1972,1644,1662,0
79905,5070,5011,789,488,334,887,980,853,680,59
79906,2094,2094,542,323,193,371,216,293,156,0
79907,13679,13679,2208,1284,554,1831,2189,3049,2564,0
79908,2299,2299,488,272,123,446,561,207,202,0
79911,1878,1878,361,314,97,463,162,172,309,0
79912,19589,19589,3030,2531,1300,3292,3291,3136,3009,0
79915,8623,8616,1380,1062,324,1472,1471,1500,1407,7
79916,0,0,0,0,0,0,0,0,0,0
79920,0,0,0,0,0,0,0,0,0,0
79922,1893,1859,209,237,48,290,358,315,402,34
79924,16134,16130,2333,1892,886,2584,2469,2984,2982,4
79925,9754,9754,1899,1230,399,1451,1742,1439,1594,0
79927,11203,11201,2075,1232,780,1797,1638,1708,1971,2
79928,19303,19303,2465,2160,918,2889,3818,3607,3446,0
79930,6484,6437,1482,537,298,1178,1184,881,877,47
79932,7958,7958,1393,1047,597,1223,1197,1136,1365,0
79934,8014,8014,1657,859,489,1151,1201,1136,1521,0
79935,3707,3706,542,378,188,679,747,617,555,1
79936,29390,29388,3797,2752,1101,5106,5035,5430,6167,2
79938,28931,28931,6176,3363,1364,4708,4503,5092,3725,0
79942,0,0,0,0,0,0,0,0,0,0
88063,4416,4416,700,512,290,760,767,695,692,0
88081,4356,4353,467,410,574,683,766,647,806,3
88220,8983,8960,1693,935,377,1607,1504,1519,1325,23
88260,4525,4525,693,576,146,883,875,714,638,0
88263,14,14,0,0,0,0,0,0,14,0
88410,80,80,0,0,0,0,56,0,24,0
88415,610,610,177,18,62,151,101,60,41,0
88430,12,12,0,0,0,0,0,0,12,0
