zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
76244,24749,24749,2952,2684,1933,4110,4748,4213,4109,0
76245,190,190,51,0,0,12,11,87,29,0
76247,3806,3806,500,452,172,715,714,639,614,0
76248,11026,11026,1195,762,549,1890,2118,2231,2281,0
76249,1987,1987,179,105,103,443,257,480,420,0
76250,320,320,26,37,18,88,62,47,42,0
76251,188,188,26,14,5,44,42,37,20,0
76252,563,563,72,48,16,81,127,79,140,0
76253,91,91,6,20,3,14,5,25,18,0
76255,1272,1272,274,102,46,219,260,171,200,0
76258,1446,1446,257,59,24,305,191,285,325,0
76259,1754,1754,314,163,64,156,355,408,294,0
76261,31,31,7,0,0,9,0,8,7,0
76262,11408,11379,1600,1413,777,2102,1788,1861,1838,29
